NAP,ZW0500Plan,ZW0500Actual,ZW0500Diff,ZW0500kummDIFF,ZW1000Plan,ZW1000Actual,ZW1000Diff,ZW1000kummDIFF,ZW1500Plan,ZW1500Actual,ZW1500Diff,ZW1500kummDIFF,ZBPlan,ZBActual,ZBDiff,ZBkummDiff,ZLPlan,ZLActual,ZLDiff,ZLkummDIFF,TotalPlan,TotalActual,TotalDiff
42736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42738,0,83.62,83.62,83.62,0,2.2,2.2,2.2,0,10.8,10.8,10.8,0,4.8,4.8,4.8,0,0,0,0,0,101.42,101.42
42739,0,4.44,4.44,88.06,0,29.7,29.7,31.9,0,31.2,31.2,42,0,0,0,4.8,0,0,0,0,0,65.34,65.34
42740,215,146.42,-68.58,19.48,52.84,15.4,-37.44,-5.54,35.8,20.4,-15.4,26.6,12,0,-12,-7.2,0,0,0,0,315.64,182.22,-133.42
42741,215,206.24,-8.76,10.72,52.84,39.6,-13.24,-18.78,35.8,16.8,-19,7.6,12,0,-12,-19.2,0,0,0,0,315.64,262.64,-53
42742,215,220.06,5.06,15.78,52.84,57.2,4.36,-14.42,35.8,28.8,-7,0.6,12,4.8,-7.2,-26.4,0,0,0,0,315.64,310.86,-4.78
42743,215,186.68,-28.32,-12.54,52.84,55,2.16,-12.26,35.8,13.2,-22.6,-22,12,12.6,0.6,-25.8,0,0,0,0,315.64,267.48,-48.16
42744,215,232.24,17.24,4.7,52.84,63.8,10.96,-1.3,35.8,36,0.2,-21.8,12,9.6,-2.4,-28.2,0,0,0,0,315.64,341.64,26
42745,215,208.24,-6.76,-2.06,52.84,62.7,9.86,8.56,35.8,28.8,-7,-28.8,12,10.2,-1.8,-30,0,0,0,0,315.64,309.94,-5.7
42746,215,201.76,-13.24,-15.3,52.84,47.3,-5.54,3.02,35.8,46.8,11,-17.8,12,16.2,4.2,-25.8,0,0,0,0,315.64,312.06,-3.58
42747,215,176.54,-38.46,-53.76,52.84,37.4,-15.44,-12.42,35.8,40.8,5,-12.8,12,0.6,-11.4,-37.2,0,0,0,0,315.64,255.34,-60.3
42748,215,183.74,-31.26,-85.02,52.84,29.7,-23.14,-35.56,35.8,40.8,5,-7.8,12,21,9,-28.2,0,0,0,0,315.64,275.24,-40.4
42749,215,220.26,5.26,-79.76,52.84,15.4,-37.44,-73,35.8,42,6.2,-1.6,12,12.6,0.6,-27.6,0,0,0,0,315.64,290.26,-25.38
42750,215,207.26,-7.74,-87.5,52.84,48.4,-4.44,-77.44,35.8,49.2,13.4,11.8,12,11.4,-0.6,-28.2,0,0,0,0,315.64,316.26,0.62
42751,215,186.4,-28.6,-116.1,52.84,50.6,-2.24,-79.68,35.8,39.6,3.8,15.6,12,11.4,-0.6,-28.8,0,0,0,0,315.64,288,-27.64
42752,215,239.54,24.54,-91.56,52.84,58.3,5.46,-74.22,35.8,52.8,17,32.6,12,3.6,-8.4,-37.2,0,0,0,0,315.64,354.24,38.6
42753,215,207.88,-7.12,-98.68,52.84,59.4,6.56,-67.66,35.8,38.4,2.6,35.2,12,0,-12,-49.2,0,0,0,0,315.64,305.68,-9.96
42754,215,216.22,1.22,-97.46,52.84,48.4,-4.44,-72.1,35.8,46.8,11,46.2,12,31.8,19.8,-29.4,0,0,0,0,315.64,343.22,27.58
42755,215,190.86,-24.14,-121.6,52.84,50.6,-2.24,-74.34,35.8,39.6,3.8,50,12,11.4,-0.6,-30,0,0,0,0,315.64,292.46,-23.18
42756,215,202.34,-12.66,-134.26,52.84,47.3,-5.54,-79.88,35.8,33.6,-2.2,47.8,12,15.6,3.6,-26.4,0,0,0,0,315.64,298.84,-16.8
42757,215,191.52,-23.48,-157.74,52.84,58.3,5.46,-74.42,35.8,40.8,5,52.8,12,1.2,-10.8,-37.2,0,0,0,0,315.64,291.82,-23.82
42758,215,212.5,-2.5,-160.24,52.84,53.9,1.06,-73.36,35.8,42,6.2,59,12,25.2,13.2,-24,0,0,0,0,315.64,333.6,17.96
42759,215,202.98,-12.02,-172.26,52.84,72.6,19.76,-53.6,35.8,26.4,-9.4,49.6,12,14.4,2.4,-21.6,0,0,0,0,315.64,316.38,0.74
42760,215,200.76,-14.24,-186.5,52.84,67.1,14.26,-39.34,35.8,67.2,31.4,81,12,9,-3,-24.6,0,0,0,0,315.64,344.06,28.42
42761,215,92.94,-122.06,-308.56,52.84,38.5,-14.34,-53.68,35.8,25.2,-10.6,70.4,12,7.2,-4.8,-29.4,0,0,0,0,315.64,163.84,-151.8
